url,label
https://github.com/about,Legitimate
https://www.python.org/products,Legitimate
https://www.wikipedia.org/wiki/products,Legitimate
https://github.com/login,Legitimate
https://github.com/support,Legitimate
https://www.amazon.com/about,Legitimate
https://www.google.com,Legitimate
https://www.wikipedia.org/wiki/products,Legitimate
https://www.google.com,Legitimate
https://www.wikipedia.org/wiki/login,Legitimate
https://www.amazon.com/products,Legitimate
https://www.mozilla.org/support,Legitimate
https://www.python.org/account,Legitimate
https://www.google.com,Legitimate
https://www.microsoft.com/login,Legitimate
https://www.amazon.com/docs,Legitimate
https://www.python.org/products,Legitimate
https://www.wikipedia.org/wiki/account,Legitimate
https://www.apple.com/about,Legitimate
https://github.com/download,Legitimate
https://github.com/docs,Legitimate
https://www.apple.com/support,Legitimate
https://www.python.org/account,Legitimate
https://www.google.com,Legitimate
https://www.mozilla.org/support,Legitimate
https://github.com/download,Legitimate
https://github.com/support,Legitimate
https://www.python.org/account,Legitimate
https://www.apple.com/support,Legitimate
https://www.wikipedia.org/wiki/login,Legitimate
https://github.com/about,Legitimate
https://www.wikipedia.org/wiki/account,Legitimate
https://www.python.org/about,Legitimate
https://www.wikipedia.org/wiki/account,Legitimate
https://github.com/download,Legitimate
https://www.python.org/download,Legitimate
https://www.apple.com/products,Legitimate
https://www.apple.com/docs,Legitimate
https://www.wikipedia.org/wiki/login,Legitimate
https://www.python.org/login,Legitimate
https://github.com/support,Legitimate
https://www.microsoft.com/support,Legitimate
https://www.wikipedia.org/wiki/products,Legitimate
https://www.mozilla.org/download,Legitimate
https://www.python.org/login,Legitimate
https://www.wikipedia.org/wiki/login,Legitimate
https://www.apple.com/account,Legitimate
https://www.google.com,Legitimate
https://www.google.com,Legitimate
https://www.apple.com/download,Legitimate
https://www.python.org/about,Legitimate
https://www.wikipedia.org/wiki/support,Legitimate
https://www.apple.com/products,Legitimate
https://www.mozilla.org/download,Legitimate
https://www.mozilla.org/products,Legitimate
https://www.python.org/products,Legitimate
https://www.wikipedia.org/wiki/login,Legitimate
https://www.python.org/login,Legitimate
https://www.amazon.com/support,Legitimate
https://www.amazon.com/docs,Legitimate
http://secure-login-wallet.example.com/verify,Phishing
http://example.com@192.0.2.10/login,Phishing
http://203.0.113.25/login,Phishing
http://secure-login-bonus.example.com/verify,Phishing
http://example.com@192.0.2.10/login,Phishing
http://example.com@203.0.113.25/login,Phishing
http://example.com@198.51.100.7/login,Phishing
http://verify-bonus-account-password.example.com/login,Phishing
http://security-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://payment-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://user-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://account-update-support.example.com/secure/login?confirm=1&password=1,Phishing
http://example.com@203.0.113.25/login,Phishing
http://user-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://secure-login-payment.example.com/verify,Phishing
http://user-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://verify-payment-account-password.example.com/login,Phishing
http://secure-login-user.example.com/verify,Phishing
http://verify-bonus-account-password.example.com/login,Phishing
http://198.51.100.7/login,Phishing
http://example.com@192.0.2.10/login,Phishing
http://account-update-bonus.example.com/secure/login?confirm=1&password=1,Phishing
http://secure-login-bank.example.com/verify,Phishing
http://verify-bank-account-password.example.com/login,Phishing
http://support-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://verify-bonus-account-password.example.com/login,Phishing
http://secure-login-security.example.com/verify,Phishing
http://verify-wallet-account-password.example.com/login,Phishing
http://verify-bonus-account-password.example.com/login,Phishing
http://example.com@203.0.113.25/login,Phishing
http://security-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://user-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://security-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://example.com@198.51.100.7/login,Phishing
http://192.0.2.10/login,Phishing
http://192.0.2.10/login,Phishing
http://verify-payment-account-password.example.com/login,Phishing
http://verify-wallet-account-password.example.com/login,Phishing
http://203.0.113.25/login,Phishing
http://192.0.2.10/login,Phishing
http://198.51.100.7/login,Phishing
http://192.0.2.10/login,Phishing
http://account-update-security.example.com/secure/login?confirm=1&password=1,Phishing
http://secure-login-payment.example.com/verify,Phishing
http://payment-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://example.com@198.51.100.7/login,Phishing
http://example.com@192.0.2.10/login,Phishing
http://198.51.100.7/login,Phishing
http://account-update-support.example.com/secure/login?confirm=1&password=1,Phishing
http://example.com@203.0.113.25/login,Phishing
http://203.0.113.25/login,Phishing
http://bank-secure-login.example.com/confirm?verify=1&account=1,Phishing
http://example.com@198.51.100.7/login,Phishing
http://192.0.2.10/login,Phishing
http://secure-login-payment.example.com/verify,Phishing
http://secure-login-support.example.com/verify,Phishing
http://account-update-support.example.com/secure/login?confirm=1&password=1,Phishing
http://203.0.113.25/login,Phishing
http://203.0.113.25/login,Phishing
http://verify-bonus-account-password.example.com/login,Phishing
